No,SupplierID,SupplierName,PurchaseDate,ProductName,Qty,PriceEach,TotalPrice
201,Supp-1,SuppName-1,2021-12-19,Product-1,547,2,1094
202,Supp-2,SuppName-2,2021-11-09,Product-2,51,1,51
203,Supp-3,SuppName-3,2021-10-10,Product-3,924,4,3696
204,Supp-4,SuppName-4,2021-11-02,Product-4,134,10,1340
205,Supp-5,SuppName-5,2021-11-20,Product-5,214,8,1712
206,Supp-6,SuppName-6,2021-10-07,Product-1,413,5,2065
207,Supp-7,SuppName-7,2021-11-08,Product-2,832,1,832
208,Supp-8,SuppName-8,2021-10-06,Product-3,138,9,1242
209,Supp-9,SuppName-9,2021-11-26,Product-4,716,3,2148
210,Supp-10,SuppName-10,2021-10-02,Product-5,846,7,5922
211,Supp-1,SuppName-1,2021-11-11,Product-1,289,2,578
212,Supp-2,SuppName-2,2021-12-26,Product-2,246,1,246
213,Supp-3,SuppName-3,2021-11-12,Product-3,570,4,2280
214,Supp-4,SuppName-4,2021-12-18,Product-4,110,10,1100
215,Supp-5,SuppName-5,2021-12-06,Product-5,714,8,5712
216,Supp-6,SuppName-6,2021-11-10,Product-1,659,5,3295
217,Supp-7,SuppName-7,2021-10-20,Product-2,658,1,658
218,Supp-8,SuppName-8,2021-10-11,Product-3,938,9,8442
219,Supp-9,SuppName-9,2021-09-30,Product-4,692,3,2076
220,Supp-10,SuppName-10,2021-12-03,Product-5,637,7,4459
221,Supp-1,SuppName-1,2021-12-08,Product-1,230,2,460
222,Supp-2,SuppName-2,2021-11-22,Product-2,543,1,543
223,Supp-3,SuppName-3,2021-12-23,Product-3,631,4,2524
224,Supp-4,SuppName-4,2021-11-20,Product-4,562,10,5620
225,Supp-5,SuppName-5,2021-12-26,Product-5,147,8,1176
226,Supp-6,SuppName-6,2021-12-03,Product-1,904,5,4520
227,Supp-7,SuppName-7,2021-12-16,Product-2,298,1,298
228,Supp-8,SuppName-8,2021-12-27,Product-3,967,9,8703
229,Supp-9,SuppName-9,2021-11-09,Product-4,144,3,432
230,Supp-10,SuppName-10,2021-10-08,Product-5,791,7,5537
231,Supp-1,SuppName-1,2021-11-26,Product-1,582,2,1164
232,Supp-2,SuppName-2,2021-10-29,Product-2,626,1,626
233,Supp-3,SuppName-3,2021-12-24,Product-3,62,4,248
234,Supp-4,SuppName-4,2021-10-29,Product-4,228,10,2280
235,Supp-5,SuppName-5,2021-12-04,Product-5,439,8,3512
236,Supp-6,SuppName-6,2021-10-30,Product-1,93,5,465
237,Supp-7,SuppName-7,2021-11-09,Product-2,81,1,81
238,Supp-8,SuppName-8,2021-11-10,Product-3,663,9,5967
239,Supp-9,SuppName-9,2021-11-05,Product-4,840,3,2520
240,Supp-10,SuppName-10,2021-10-04,Product-5,894,7,6258
241,Supp-1,SuppName-1,2021-11-27,Product-1,688,2,1376
242,Supp-2,SuppName-2,2021-11-25,Product-2,718,1,718
243,Supp-3,SuppName-3,2021-12-14,Product-3,774,4,3096
244,Supp-4,SuppName-4,2021-10-28,Product-4,725,10,7250
245,Supp-5,SuppName-5,2021-11-30,Product-5,311,8,2488
246,Supp-6,SuppName-6,2021-12-02,Product-1,964,5,4820
247,Supp-7,SuppName-7,2021-11-06,Product-2,603,1,603
248,Supp-8,SuppName-8,2021-10-14,Product-3,785,9,7065
249,Supp-9,SuppName-9,2021-12-06,Product-4,770,3,2310
250,Supp-10,SuppName-10,2021-12-28,Product-5,458,7,3206
251,Supp-1,SuppName-1,2021-10-23,Product-1,795,2,1590
252,Supp-2,SuppName-2,2021-11-02,Product-2,2,1,2
253,Supp-3,SuppName-3,2021-11-06,Product-3,673,4,2692
254,Supp-4,SuppName-4,2021-12-04,Product-4,218,10,2180
255,Supp-5,SuppName-5,2021-10-16,Product-5,977,8,7816
256,Supp-6,SuppName-6,2021-10-05,Product-1,674,5,3370
257,Supp-7,SuppName-7,2021-12-23,Product-2,226,1,226
258,Supp-8,SuppName-8,2021-11-25,Product-3,656,9,5904
259,Supp-9,SuppName-9,2021-10-12,Product-4,26,3,78
260,Supp-10,SuppName-10,2021-11-14,Product-5,547,7,3829
261,Supp-1,SuppName-1,2021-11-15,Product-1,408,2,816
262,Supp-2,SuppName-2,2021-10-10,Product-2,459,1,459
263,Supp-3,SuppName-3,2021-10-05,Product-3,725,4,2900
264,Supp-4,SuppName-4,2021-12-07,Product-4,296,10,2960
265,Supp-5,SuppName-5,2021-11-11,Product-5,107,8,856
266,Supp-6,SuppName-6,2021-12-22,Product-1,64,5,320
267,Supp-7,SuppName-7,2021-11-05,Product-2,10,1,10
268,Supp-8,SuppName-8,2021-10-16,Product-3,172,9,1548
269,Supp-9,SuppName-9,2021-12-07,Product-4,150,3,450
270,Supp-10,SuppName-10,2021-11-13,Product-5,659,7,4613
271,Supp-1,SuppName-1,2021-12-01,Product-1,183,2,366
272,Supp-2,SuppName-2,2021-10-03,Product-2,21,1,21
273,Supp-3,SuppName-3,2021-12-02,Product-3,712,4,2848
274,Supp-4,SuppName-4,2021-12-01,Product-4,743,10,7430
275,Supp-5,SuppName-5,2021-11-21,Product-5,443,8,3544
276,Supp-6,SuppName-6,2021-11-21,Product-1,274,5,1370
277,Supp-7,SuppName-7,2021-10-17,Product-2,936,1,936
278,Supp-8,SuppName-8,2021-10-13,Product-3,31,9,279
279,Supp-9,SuppName-9,2021-10-28,Product-4,407,3,1221
